,42C 3 120 1 1,42C 4 161 1 1,42C 5 125 1 1,42C 7 135 1 1,42C 10 153 1 1,GLU 10 320 1 1,SER 3 50 1 1,SSW_GLU_AC 7 90 0 3,SSW_GLU_AC 8 91 0 2,SSW_GLU_XYL 1 163 0 2,TOL_hexanoic_acid 2 50 1 1,TOL_isobutyric_acid 1 50 1 1,TOL_isobutyric_acid 1 50 2 1,TOL_isobutyric_acid 2 50 1 1,TOL_isobutyric_acid 3 50 1 1,TOL_isobutyric_acid 3 50 2 1,TOL_isobutyric_acid 4 50 1 1,TOL_isobutyric_acid 5 50 1 1,TOL_isobutyric_acid 6 50 1 1,TOL_isobutyric_acid 7 50 1 1,TOL_isobutyric_acid 8 50 1 1,TOL_putrescine 4 50 1 1,pyocyanin_supplemented_medium 2 19 2 1,pyocyanin_supplemented_medium 3 19 3 1,tpi 14 89 0 1,tpi 16 88 0 1,tpiHSA 3 71 1 1,tpiHSA 8 29 1 1,tpiHSA 8 34 1 1,tpiHSA 8 34 2 1,tpiHSA 10 76 1 1,tpiHSA 10 104 1 1,tpiPAE 15 36 1 1,tpiPAE 16 95 1 1,tpiPAE 16 36 2 1,tpiPAE 24 31 1 1,wt 1 1 2 1
carbon-source,glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(2),glucose(4) or acetate(4),glucose(4) or acetate(4),glucose(4) or xylose(4),glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(2),glucose(3),glucose(3),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(4),glucose(2)
calcium-source,CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),none,none,CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1),CaCl2(0.1)
nitrogen-source,NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),(NH4)2SO4(2),(NH4)2SO4(2),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1),NH4Cl(1)
base-media,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M63,M63,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9,M9
exp id,42C,42C,42C,42C,42C,GLU,SER,SSW_GLU_AC,SSW_GLU_AC,SSW_GLU_XYL,TOL_hexanoic_acid,TOL_isobutyric_acid,TOL_isobutyric_acid,TOL_isobutyric_acid,TOL_isobutyric_acid,TOL_isobutyric_acid,TOL_isobutyric_acid,TOL_isobutyric_acid,TOL_isobutyric_acid,TOL_isobutyric_acid,TOL_isobutyric_acid,TOL_putrescine,pyocyanin,pyocyanin,tpiAKO,tpiAKO,tpiHSA,tpiHSA,tpiHSA,tpiHSA,tpiHSA,tpiHSA,tpiPAE,tpiPAE,tpiPAE,tpiPAE,gentamycin
supplement,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,glycine(2mM) & L-serine,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,hexanoic acid,isobutyric acid,isobutyric acid,isobutyric acid,isobutyric acid,isobutyric acid,isobutyric acid,isobutyric acid,isobutyric acid,isobutyric acid,isobutyric acid,putrescine,C13H10N2O(0.168184),C13H10N2O(0.168184),NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,NaCl(0.5) trace elements,gentamycin(0.03)
strain-description,WT,WT,WT,WT,WT,WT,ΔsdaA ΔsdaB ΔtdcG ΔglyA,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,ΔtpiA glucose M9 pre-evolved,ΔtpiA glucose M9 pre-evolved,H. sapien tpiA,H. sapien tpiA,H. sapien tpiA,H. sapien tpiA,H. sapien tpiA,H. sapien tpiA,P. aerophilum tpiA,P. aerophilum tpiA,P. aerophilum tpiA,P. aerophilum tpiA,WT
temperature,42 Celsius,42 Celsius,42 Celsius,42 Celsius,42 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius,37 Celsius
phosphorous-source,KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(13.6),KH2PO4(13.6),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8),KH2PO4(3) Na2HPO4(6.8)
sulfur-source,MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),(NH4)2SO4(2) MgSO4(0.12),(NH4)2SO4(2) MgSO4(0.12),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24),MgSO4(0.24)
